date,all_share_index
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
2025-1-22,104.39
